ec:1.1.1.1;ADH1A,ADH1B,ADH1G,ADH4,ADH6,ADH7,ADHX
ec:2.4.1.17;UD110,UD11,UD13,UD14,UD15,UD16,UD17,UD18,UD19,UD2A1,UD2A3,UD2B4,UD2B7,UD3A1,UD3A2,UDB10,UDB11,UDB15,UDB17,UDB28
ec:2.4.1.18;GLGB
ec:2.4.1.22;B4GT1,B4GT2
ec:2.4.1.25;GDE
ec:2.4.1.37;BGAT
ec:2.4.1.38;B4GT1,B4GT2,B4GT3
ec:2.4.1.40;BGAT
ec:2.4.1.41;GALT1,GALT2,GALT3,GALT4,GALT5,GALT6,GALT8,GALT9,GLT10,GLT11,GLT12,GLT13,GLT14,GLT15,GLT16,GLT18,GLTL3,GLTL6
ec:2.4.1.45;CGT
ec:2.4.1.50;GT251,GT252
ec:2.4.1.62;B3GT4
ec:2.4.1.65;FUT3,FUT5,FUT6
ec:2.4.1.68;FUT8
ec:2.4.1.69;FUT1,FUT2
ec:2.4.1.79;B3GL1
ec:2.4.1.80;CEGT
ec:2.4.1.83;DPM1
ec:2.4.1.86;B3GT1,B3GT2
ec:2.4.1.87;A3LT2
ec:2.4.1.90;B4GT1,B4GT2,B4GT3,B4GT4
ec:2.4.1.92;B4GN1
ec:2.4.1.101;MGAT1
ec:2.4.1.102;GCNT1,GCNT3,GCNT4
ec:2.4.1.109;POMT1,POMT2
ec:2.4.1.117;ALG5
ec:2.4.1.122;C1GLT
ec:2.4.1.131;ALG11
ec:2.4.1.132;ALG2
ec:2.4.1.133;B4GT7
ec:2.4.1.134;B3GT6
ec:2.4.1.135;B3GA1,B3GA2,B3GA3
ec:2.4.1.141;ALG13
ec:2.4.1.142;ALG1
ec:2.4.1.143;MGAT2
ec:2.4.1.144;MGAT3
ec:2.4.1.145;MGT4A,MGT4B,MGT4C
ec:2.4.1.146;B3GN3
ec:2.4.1.147;B3GN6
ec:2.4.1.149;B3GN2,B3GN3,B3GN4
ec:2.4.1.150;GCNT3,GNT2A
ec:2.4.1.155;MGT5A,MGT5B
ec:2.4.1.174;CGAT1,CGAT2
ec:2.4.1.175;CHSS1,CHSS2,CHSS3
ec:2.4.1.186;GLYG2,GLYG
ec:2.4.1.198;PIGA,PIGC,PIGH,PIGP,PIGQ
ec:2.4.1.206;B3GN5
ec:2.4.1.212;HYAS1,HYAS2,HYAS3
ec:2.4.1.221;OFUT1,OFUT2
ec:2.4.1.222;LFNG,MFNG,RFNG
ec:2.4.1.223;EXTL2,EXTL3
ec:2.4.1.224;EXT1,EXT2,EXTL1
ec:2.4.1.225;EXT1,EXT2
ec:2.4.1.226;CHPF2,CHSS1,CHSS2,CHSS3
ec:2.4.1.228;A4GAT
ec:2.4.1.244;B4GN3,B4GN4
ec:2.4.1.255;EOGT,OGT1
ec:2.4.1.256;AG10A,AG10B
ec:2.4.1.257;ALG2
ec:2.4.1.258;ALG3
ec:2.4.1.259;ALG9
ec:2.4.1.260;ALG12
ec:2.4.1.261;ALG9
ec:2.4.1.265;ALG8
ec:2.4.1.267;ALG6
ec:2.4.1.274;B4GT6
ec:2.4.1.275;B4GT4
ec:2.4.2.1;PNPH
ec:2.4.2.3;UPP1,UPP2
ec:2.4.2.4;TYPH
ec:2.4.2.7;APT
ec:2.4.2.8;HPRT
ec:2.4.2.10;UMPS
ec:2.4.2.12;NAMPT
ec:2.4.2.14;PUR1
ec:2.4.2.19;NADC
ec:2.4.2.26;PGLT1,XYLT1,XYLT2
ec:2.4.2.28;MTAP
ec:2.4.2.29;TGT
ec:2.4.2.30;PAR10,PAR11,PAR12,PAR14,PAR15,PAR16,PARP1,PARP2,PARP3,PARP4,PARP6,PARP8,PARP9,PARPT,TNKS1,TNKS2
ec:2.4.2.31;NAR1,NAR3,NAR4,NAR5
ec:2.4.2.n2;GXLT1,GXLT2
ec:2.4.2.n3;XXLT1
ec:2.4.99.1;SIAT1,SIAT2
ec:2.4.99.3;SIA7A
ec:2.4.99.4;SIA4A,SIA4B
ec:2.4.99.6;SIAT6
ec:2.4.99.7;SIA7D
ec:2.4.99.8;SIA8A
ec:2.4.99.9;SIAT9
ec:2.4.99.18;DAD1,OST48,RPN1,RPN2,STT3A,STT3B
ec:2.4.99.20;CD38
ec:2.5.1.1;FPPS,GGPPS
ec:2.5.1.6;METK1,METK2
ec:2.5.1.10;FPPS,GGPPS
ec:2.5.1.16;SPEE
ec:2.5.1.17;MMAB
ec:2.5.1.18;GST2,GSTA1,GSTA2,GSTA3,GSTA4,GSTA5,GSTK1,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,GSTO1,GSTO2,GSTP1,GSTT1,GSTT2,HPGDS,MAAI,MGST1,MGST2,MGST3
ec:2.5.1.21;FDFT
ec:2.5.1.22;SPSY
ec:2.5.1.26;ADAS
ec:2.5.1.29;GGPPS
ec:2.5.1.39;COQ2
ec:2.5.1.46;DHYS
ec:2.5.1.56;SIAS
ec:2.5.1.57;SIAS
ec:2.5.1.58;FNTA,FNTB
ec:2.5.1.59;FNTA,PGTB1
ec:2.5.1.60;PGTA,PGTB2
ec:2.5.1.61;HEM3
ec:2.5.1.75;MOD5
ec:2.5.1.87;DHDDS,NGBR
ec:2.5.1.91;DLP1,DPS1
ec:2.5.1.114;TYW2
ec:2.6.1.1;AATC,AATM
ec:2.6.1.2;ALAT1,ALAT2
ec:2.6.1.3;AATC
ec:2.6.1.5;ATTY
ec:2.6.1.7;AADAT,AATM,KAT1,KAT3
ec:2.6.1.13;OAT
ec:2.6.1.16;GFPT1,GFPT2
ec:2.6.1.19;GABT
ec:2.6.1.22;GABT
ec:2.6.1.39;AADAT
ec:2.6.1.40;AGT2
ec:2.6.1.42;BCAT1,BCAT2
ec:2.6.1.44;AGT2,SPYA
ec:2.6.1.51;SPYA
ec:2.6.1.52;SERC
ec:2.6.1.63;KAT3
ec:2.6.1.64;KAT1
ec:2.7.1.1;HKDC1,HXK1,HXK2,HXK3
ec:2.7.1.2;HXK4
ec:2.7.1.3;KHK
ec:2.7.1.6;GALK1
ec:2.7.1.11;PFKAL,PFKAM,PFKAP
ec:2.7.1.12;GNTK
ec:2.7.1.14;SHPK
ec:2.7.1.15;RBSK
ec:2.7.1.17;XYLB
ec:2.7.1.20;ADK
ec:2.7.1.21;KITH,KITM
ec:2.7.1.22;NRK1,NRK2
ec:2.7.1.23;NADK,NAKD2
ec:2.7.1.24;COASY
ec:2.7.1.25;PAPS1,PAPS2
ec:2.7.1.26;RIFK
ec:2.7.1.28;TKFC
ec:2.7.1.29;TKFC
ec:2.7.1.30;GLPK2,GLPK3,GLPK5,GLPK
ec:2.7.1.31;GLCTK
ec:2.7.1.32;CHKA,CHKB
ec:2.7.1.33;PANK1,PANK2,PANK3,PANK4
ec:2.7.1.35;PDXK
ec:2.7.1.36;KIME
ec:2.7.1.40;KPYM,KPYR
ec:2.7.1.48;UCK1,UCK2,UCKL1
ec:2.7.1.52;FUK
ec:2.7.1.59;NAGK
ec:2.7.1.60;GLCNE
ec:2.7.1.67;P4K2A,P4K2B,PI4KA,PI4KB
ec:2.7.1.68;PI51A,PI51B,PI51C,PI5L1
ec:2.7.1.74;DCK
ec:2.7.1.78;CLP1,PNKP
ec:2.7.1.81;HYKK
ec:2.7.1.82;CHKA,CHKB,EKI1,EKI2
ec:2.7.1.91;SPHK1,SPHK2
ec:2.7.1.94;AGK
ec:2.7.1.105;F261,F262,F263,F264
ec:2.7.1.106;PGM2L
ec:2.7.1.107;AGK,DGKA,DGKB,DGKD,DGKE,DGKG,DGKH,DGKI,DGKK,DGKQ,DGKZ
ec:2.7.1.108;DOLK
