tcdb:1.a.9.5.2;NEDD4
tcdb:1.a.9.5.2;NEDD4
tcdb:9.a.14.4.10;SCTR
tcdb:9.a.14.10.2;AVPR1B
tcdb:2.a.22.3.11;SLC6A8
tcdb:9.a.14.1.3;MTNR1A
tcdb:1.a.2.1.1;KCNJ1
tcdb:1.a.2.1.10;KCNJ6
tcdb:2.a.22.3.1;KCNJ6
tcdb:2.a.22.3.9;SLC6A11
tcdb:2.a.22.2.12;SLC6A9
tcdb:9.a.14.13.13;NPBWR2
tcdb:1.a.24.1.5;NPBWR2
tcdb:1.a.9.3.1;NPBWR2
tcdb:8.a.75.1.1;TM4SF4
tcdb:8.a.40.1.15;CD151
tcdb:1.a.2.1.3;CD151
tcdb:9.a.14.4.5;GIPR
tcdb:1.a.2.1.12;KCNJ3
tcdb:2.a.23.2.8;SLC1A6
tcdb:2.a.31.1.3;SLC4A3
tcdb:2.a.36.1.15;SLC9A3
tcdb:9.a.14.6.2;CD97
tcdb:1.a.4.1.3;CD97
tcdb:3.a.19.1.1;CAMLG
tcdb:2.a.55.2.3;CAMLG
tcdb:2.a.55.2.1;CAMLG
tcdb:5.b.2.1.4;CAMLG
tcdb:3.a.5.9.1;CAMLG
tcdb:9.b.88.2.1;CAMLG
tcdb:1.a.54.1.1;CAMLG
tcdb:1.i.1.1.3;NUP153
tcdb:1.i.1.1.3;RANBP2
tcdb:1.a.54.1.2;RANBP2
tcdb:1.c.33.1.10;CAMP
tcdb:8.a.33.1.3;RBP2
tcdb:2.a.53.2.1;RBP2
tcdb:3.a.3.1.1;ATP1A2
tcdb:3.a.5.9.1;ANXA11
tcdb:3.a.3.1.2;ANXA11
tcdb:1.a.6.1.1;ANXA11
tcdb:1.a.6.1.1;ANXA11
tcdb:1.a.6.1.1;SCNN1D
tcdb:3.a.5.9.1;BCAP31
tcdb:1.a.1.15.6;BCAP31
tcdb:2.a.49.2.12;CLCN2
tcdb:2.a.49.2.8;CLCN4
tcdb:2.a.49.3.3;CLCN4
tcdb:9.a.14.20.1;GPR143
tcdb:2.a.112.1.1;GPR143
tcdb:1.i.1.1.3;KPNA2
tcdb:1.i.1.1.3;KPNA1
tcdb:9.a.60.1.1;NCBP2
tcdb:2.a.3.3.8;SLC7A2
tcdb:2.a.29.7.2;SLC7A2
tcdb:2.a.21.3.14;SLC5A3
tcdb:2.a.1.13.1;SLC5A3
tcdb:1.a.47.1.1;SLC5A3
tcdb:2.a.1.2.12;SLC5A3
tcdb:8.a.22.1.3;SLC5A3
tcdb:8.a.18.1.1;SLC5A3
tcdb:3.a.3.1.13;ATP12A
tcdb:3.a.3.1.1;ATP1B3
tcdb:1.a.27.2.1;ATP1B3
tcdb:2.a.30.3.1;ATP1B3
tcdb:2.a.30.4.2;ATP1B3
tcdb:1.c.40.1.4;ATP1B3
tcdb:1.i.1.1.3;CSE1L
tcdb:1.a.14.1.1;CSE1L
tcdb:1.a.8.8.9;AQP5
tcdb:3.a.16.1.1;AQP5
tcdb:9.a.14.13.12;F2RL1
tcdb:1.a.8.8.5;F2RL1
tcdb:1.i.1.1.3;SEC13
tcdb:2.a.29.3.4;UCP2
tcdb:2.a.29.3.5;UCP3
tcdb:8.a.54.1.1;ITGA1
tcdb:1.a.7.1.6;P2RX3
tcdb:1.f.1.2.1;CAV3
tcdb:9.b.199.1.2;TMEM50B
tcdb:9.a.17.1.2;TMEM50B
tcdb:1.a.1.15.4;TMEM50B
tcdb:1.h.1.1.9;CLDN15
tcdb:1.h.1.1.7;CLDN8
tcdb:1.h.1.1.13;CLDN17
tcdb:8.a.32.1.1;CLDN17
tcdb:2.a.1.4.7;CLDN17
tcdb:9.b.180.1.3;TMEM33
tcdb:2.a.19.3.3;SLC8A3
tcdb:1.i.1.1.3;NUP107
tcdb:1.c.123.1.1;GSDMD
tcdb:9.a.46.1.1;CLRN1
tcdb:2.a.53.2.19;SLC26A5
tcdb:9.a.14.17.5;TAS2R38
tcdb:9.a.14.17.1;TAS2R19
tcdb:1.c.19.1.1;TAS2R19
tcdb:1.c.85.1.1;TAS2R19
tcdb:8.a.40.1.1;CD81
tcdb:3.a.5.9.1;CD81
tcdb:3.a.5.9.1;CD81
tcdb:1.g.9.1.2;ERVFRD-1
tcdb:9.b.181.1.1;ROMO1
tcdb:1.f.1.1.1;ROMO1
tcdb:8.a.81.1.2;S100A10
tcdb:3.a.5.9.1;S100A10
tcdb:9.a.14.13.17;CXCR4
tcdb:3.a.18.1.1;CXCR4
tcdb:3.a.2.2.4;CXCR4
tcdb:3.a.5.9.1;CXCR4
tcdb:2.a.6.6.1;CXCR4
tcdb:8.a.82.1.1;CALM1
tcdb:9.a.60.1.1;RAN
tcdb:3.a.20.1.1;UBE2D2
tcdb:8.a.16.2.5;UBE2D2
tcdb:1.f.1.1.1;UBE2D2
tcdb:1.i.1.1.3;EIF5A
tcdb:1.a.2.1.2;EIF5A
tcdb:3.a.20.1.1;UBE2I
tcdb:1.a.107.1.2;HBB
tcdb:1.a.107.1.1;HBA1
tcdb:8.a.24.1.3;DLG4
tcdb:3.a.1.211.2;DLG4
tcdb:2.a.7.12.6;DLG4
tcdb:2.a.7.12.11;SLC35A1
tcdb:2.a.7.11.1;SLC35A1
tcdb:1.i.1.1.3;RAE1
tcdb:1.a.2.1.16;KCNJ10
tcdb:8.a.77.1.2;ADAM17
tcdb:1.a.71.1.1;BASP1
tcdb:8.a.37.1.2;HAMP
tcdb:1.c.85.1.3;HAMP
tcdb:1.c.108.1.1;DCD
tcdb:2.a.3.8.19;SLC7A9
tcdb:1.a.5.1.1;SLC7A9
tcdb:3.a.3.2.5;SLC7A9
tcdb:3.a.3.8.17;ATP11A
tcdb:2.a.29.4.2;ATP11A
tcdb:1.a.37.3.2;MS4A2
tcdb:1.h.1.2.2;PMP22
tcdb:8.a.33.1.1;PMP22
tcdb:8.a.28.1.1;PMP22
tcdb:8.a.58.1.3;IFITM3
tcdb:8.a.58.1.2;IFITM2
tcdb:2.a.3.8.25;SLC7A5
tcdb:9.a.14.2.4;MC2R
tcdb:3.a.3.2.40;ATP2B2
tcdb:2.a.22.1.3;ATP2B2
tcdb:1.a.11.4.3;ATP2B2
tcdb:1.a.11.4.3;ATP2B2
tcdb:3.d.4.11.1;ATP2B2
tcdb:8.a.23.1.3;CNTN2
tcdb:9.a.14.4.7;GHRHR
tcdb:8.a.85.1.3;GUCY2D
tcdb:2.a.29.2.13;SLC25A11
tcdb:8.a.26.1.1;CAV1
tcdb:1.l.1.1.1;TNFAIP2
tcdb:9.a.14.4.11;PTH1R
tcdb:3.a.1.209.1;PTH1R
tcdb:3.a.1.209.1;PTH1R
tcdb:3.a.3.5.6;PTH1R
tcdb:2.a.45.2.1;PTH1R
tcdb:1.a.9.1.1;CHRNE
tcdb:1.a.64.5.2;PLP2
tcdb:1.a.10.1.6;PLP2
tcdb:2.a.1.2.29;PLP2
tcdb:8.a.33.1.2;FABP1
tcdb:1.c.111.1.2;REG3A
tcdb:8.a.16.1.1;REG3A
tcdb:2.a.58.1.5;SLC34A1
tcdb:1.a.9.1.1;CHRND
tcdb:9.b.103.1.1;C1QBP
tcdb:1.a.21.1.2;BAX
tcdb:1.a.21.1.1;BAX
tcdb:8.a.9.1.2;SLC3A1
tcdb:8.a.22.1.2;SLC3A1
tcdb:2.a.20.2.3;SLC3A1
tcdb:1.n.1.1.1;CD47
tcdb:2.a.18.6.18;SLC38A11
tcdb:9.a.60.1.1;NCBP1
tcdb:3.a.1.208.4;NCBP1
tcdb:2.a.7.25.4;NCBP1
tcdb:2.a.28.3.1;NCBP1
tcdb:1.c.123.1.7;DFNB59
tcdb:1.i.1.1.3;NUP160
tcdb:8.a.28.1.5;ASPH
tcdb:1.f.1.1.1;ASPH
tcdb:2.a.28.1.2;SLC10A2
tcdb:1.a.20.1.1;SLC10A2
tcdb:8.a.28.1.3;TRDN
tcdb:2.a.47.1.17;SLC13A2
tcdb:9.a.14.7.1;GRM1
tcdb:1.a.28.1.5;SLC14A1
tcdb:2.a.5.4.13;SLC39A6
tcdb:8.a.67.1.1;OS9
tcdb:9.b.188.1.1;TMED1
tcdb:1.a.76.1.2;TUSC3
tcdb:1.a.4.1.4;TUSC3
tcdb:1.a.8.8.4;TUSC3
tcdb:9.a.29.3.4;SERINC3
tcdb:1.a.5.2.1;SERINC3
tcdb:2.a.74.1.4;LAPTM5
tcdb:1.a.52.1.1;LAPTM5
tcdb:3.a.20.1.1;PEX6
tcdb:2.a.30.1.2;SLC12A1
tcdb:3.a.18.1.1;SLC12A1
tcdb:1.a.1.11.4;SLC12A1
tcdb:1.a.1.2.13;KCNC3
tcdb:1.a.1.5.3;KCNC3
tcdb:9.a.14.6.1;EMR1
tcdb:8.a.66.1.6;FLNC
tcdb:1.a.1.10.3;FLNC
tcdb:2.a.57.1.8;SLC29A2
tcdb:1.a.3.2.6;ITPR1
tcdb:1.a.2.1.17;KCNJ11
tcdb:1.a.1.2.11;KCNJ11
tcdb:8.a.5.1.1;KCNJ11
tcdb:1.i.1.1.3;MVP
tcdb:9.b.64.1.1;MVP
tcdb:2.a.1.14.27;SLC17A1
tcdb:2.a.36.1.16;SLC9A5
tcdb:1.a.10.1.3;SLC9A5
tcdb:2.a.28.1.9;SLC10A1
tcdb:1.i.1.1.3;KPNB1
tcdb:2.a.2.3.10;TMEM180
tcdb:8.a.23.1.5;HEPACAM
tcdb:9.b.129.1.1;MLC1
tcdb:2.a.9.1.2;OXA1L
tcdb:3.a.18.1.1;OXA1L
tcdb:1.a.87.2.6;ERBB4
tcdb:9.a.1.1.1;ERBB4
tcdb:9.b.188.1.2;TMED2
tcdb:1.c.113.2.1;TMED2
tcdb:8.a.24.1.2;SLC9A3R2
tcdb:9.a.14.13.5;LTB4R
tcdb:2.a.23.3.3;LTB4R
tcdb:1.a.2.1.13;KCNJ8
tcdb:1.a.28.1.6;SLC14A2
tcdb:1.a.1.10.5;SCN9A
tcdb:1.a.10.1.9;SCN9A
tcdb:1.a.1.5.12;CNGA3
tcdb:2.a.17.4.8;SLC15A2
tcdb:8.a.14.1.2;SLC15A2
tcdb:2.a.1.2.28;SLC15A2
tcdb:9.b.21.1.1;SLC15A2
tcdb:9.a.14.4.12;CALCRL
tcdb:1.a.21.1.3;BAK1
tcdb:1.f.1.1.1;BAK1
tcdb:9.b.41.1.1;OCLN
tcdb:4.d.1.4.1;UGCG
tcdb:8.a.77.2.1;MEP1B
tcdb:3.a.2.2.4;MEP1B
tcdb:2.a.21.5.6;SLC5A12
tcdb:8.a.55.3.1;IZUMO4
tcdb:8.a.16.5.1;GSG1
tcdb:1.c.39.14.1;MPEG1
tcdb:3.a.1.201.13;ABCB5
tcdb:2.a.21.3.17;SLC5A9
tcdb:2.a.7.28.8;SLC35G1
tcdb:2.a.29.15.2;SLC25A35
tcdb:9.b.198.2.5;GRAMD1B
tcdb:8.a.27.1.6;TMEM30B
tcdb:2.a.29.2.12;SLC25A52
tcdb:1.a.9.11.1;ZACN
tcdb:2.a.18.8.6;SLC36A2
tcdb:2.a.18.8.4;SLC36A3
tcdb:2.a.36.7.5;SLC9C1
